delta,FOB,perdas_MW,geracao_MW,considerar_fluxo,considerar_perdas,considerar_rampa,considerar_emissao,fluxo_L0_0,fluxo_L0_1,fluxo_L0_2,fluxo_L1_0,fluxo_L1_1,fluxo_L1_2,fluxo_L2_0,fluxo_L2_1,fluxo_L2_2,fluxo_L3_0,fluxo_L3_1,fluxo_L3_2,ger_GT1_0,ger_GT1_1,ger_GT1_2,ger_GT2_0,ger_GT2_1,ger_GT2_2,ger_GF2_0,ger_GF2_1,ger_GF2_2,ger_GT3_0,ger_GT3_1,ger_GT3_2,ger_GF3_0,ger_GF3_1,ger_GF3_2,execucao
0.19,3073.9500000000003,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,19
0.2,3096.0,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,20
0.21,3118.05,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,21
0.22,3140.1000000000004,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,22
0.23,3162.15,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,23
0.24,3184.2,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,24
0.25,3206.25,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,25
0.26,3228.3,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,26
0.27,3250.35,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,27
0.28,3272.4,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,28
0.29,3294.45,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,29
0.3,3316.5,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,30
0.31,3338.5499999999997,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,31
0.32,3360.6,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,32
0.33,3382.65,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999999,12.0,12.0,12.0,-10.0,-10.0,-6.0,30.0,30.0,28.000000000000004,24.0,27.0,23.0,0.0,0.0,0.0,16.0,19.0,9.0,0.0,0.0,0.0,33
