delta,FOB,perdas_MW,geracao_MW,considerar_fluxo,considerar_perdas,considerar_rampa,considerar_emissao,fluxo_L0_0,fluxo_L0_1,fluxo_L0_2,fluxo_L1_0,fluxo_L1_1,fluxo_L1_2,fluxo_L2_0,fluxo_L2_1,fluxo_L2_2,fluxo_L3_0,fluxo_L3_1,fluxo_L3_2,ger_GT2_0,ger_GT2_1,ger_GT2_2,ger_GF2_0,ger_GF2_1,ger_GF2_2,ger_GT3_0,ger_GT3_1,ger_GT3_2,ger_GF3_0,ger_GF3_1,ger_GF3_2,cenario,ger_GT1_0,ger_GT1_1,ger_GT1_2
1.0,28005.85262533659,0,213.08445342297594,True,True,True,True,-1.16764974668189,-1.16764974668189,-1.16764974668189,-12.0,-12.0,-12.0,12.0,12.0,12.0,-1.18617092492118,-4.219636913115879,-0.18336811349651802,40.0,40.0,36.0,0.0,0.0,0.0,32.3410423564786,36.3354367336293,26.3354367336293,0.0,2.07253759923871,0.0,sem_GT1,,,
1.0,721468.8296846002,0,216.61582863889367,True,True,True,True,5.99999999999999,5.99999999999999,5.99999999999999,12.0,12.0,12.0,12.0,12.0,12.0,-10.0,-10.0,-10.0,,,,24.6173047731489,27.6173047731489,19.6173047731489,17.3560816326531,20.3560816326531,12.3560816326531,0.0,0.0,0.0,sem_GT2,31.565223140495902,31.565223140495902,31.565223140495902
1.0,97197.62029049343,0,214.9990748638986,True,True,True,True,6.0,6.0,6.0,12.0,12.0,7.3795305581893205,12.0,12.0,12.0,5.52449114040133,2.5732632195105,6.50053809317591,40.0,40.0,36.0,0.0,0.0,0.0,,,,1.68979457870148,7.5922504204831505,0.0,sem_GT3,31.565223140495902,31.565223140495902,26.586583583722202
1.0,5151.564842427743,0,212.56533517330016,True,True,True,True,,,,12.0,12.0,9.77291284800341,12.0,12.0,12.0,0.0,-3.01859575578952,0.9979674712781109,40.0,40.0,36.0,0.0,0.0,0.0,7.152,13.189191511578999,3.1891915115790503,0.0,0.0,0.0,sem_L0,25.152,25.152,22.7309521501421
1.0,5671.196477789002,0,211.68076151989698,True,True,True,True,6.0,6.0,3.81312451857026,,,,12.0,12.0,12.0,5.52449114040134,2.5732632195105,4.6029893987099895,40.0,40.0,36.0,0.0,0.0,0.0,13.113794578701498,19.0162504204831,9.01625042048315,0.0,0.0,0.0,sem_L1,18.989223140495902,18.989223140495902,16.5560198192374
1.0,5671.196477789002,0,211.68076151989698,True,True,True,True,6.0,6.0,3.81312451857026,12.0,12.0,12.0,,,,5.52449114040134,2.5732632195105,4.6029893987099895,40.0,40.0,36.0,0.0,0.0,0.0,13.113794578701498,19.0162504204831,9.01625042048315,0.0,0.0,0.0,sem_L2,18.989223140495902,18.989223140495902,16.5560198192374
1.0,4834.7224016474,0,214.6249013217646,True,True,True,True,6.0,6.0,1.6167812393946002,12.0,12.0,12.0,12.0,12.0,12.0,,,,34.4132231404959,37.4132231404959,33.4132231404959,0.0,0.0,0.0,7.152,10.152,2.152,0.0,0.0,0.0,sem_L3,31.565223140495902,31.565223140495902,26.7987856192851
