simulacao,tipo,id,tempo,valor,execucao
3VVVVV_None,deficit,B3,2.0,0.0,3
4VVVVV_None,FOB,total,,2871.544478070211,4
4VVVVV_None,geracao,GT1,0.0,31.565223140495902,4
4VVVVV_None,geracao,GT1,1.0,31.565223140495902,4
4VVVVV_None,geracao,GT1,2.0,28.8928128134279,4
4VVVVV_None,geracao,GT2,0.0,24.6173047731489,4
4VVVVV_None,geracao,GT2,1.0,27.6173047731489,4
4VVVVV_None,geracao,GT2,2.0,23.617304773148902,4
4VVVVV_None,geracao,GT3,0.0,17.3560816326531,4
4VVVVV_None,geracao,GT3,1.0,20.3560816326531,4
4VVVVV_None,geracao,GT3,2.0,10.3560816326531,4
4VVVVV_None,fluxo,L0,0.0,6.0,4
4VVVVV_None,fluxo,L0,1.0,6.0,4
4VVVVV_None,fluxo,L0,2.0,3.59265859212857,4
4VVVVV_None,fluxo,L1,0.0,12.0,4
4VVVVV_None,fluxo,L1,1.0,12.0,4
4VVVVV_None,fluxo,L1,2.0,12.0,4
4VVVVV_None,fluxo,L2,0.0,12.0,4
4VVVVV_None,fluxo,L2,1.0,12.0,4
4VVVVV_None,fluxo,L2,2.0,12.0,4
4VVVVV_None,fluxo,L3,0.0,-10.0,4
4VVVVV_None,fluxo,L3,1.0,-10.0,4
4VVVVV_None,fluxo,L3,2.0,-8.071136244337431,4
4VVVVV_None,deficit,B2,0.0,0.0,4
4VVVVV_None,deficit,B3,0.0,0.0,4
4VVVVV_None,deficit,B2,1.0,0.0,4
4VVVVV_None,deficit,B3,1.0,0.0,4
4VVVVV_None,deficit,B2,2.0,0.0,4
4VVVVV_None,deficit,B3,2.0,0.0,4
5VVVVV_None,FOB,total,,2894.9504711782915,5
5VVVVV_None,geracao,GT1,0.0,31.565223140495902,5
5VVVVV_None,geracao,GT1,1.0,31.565223140495902,5
5VVVVV_None,geracao,GT1,2.0,28.8928128134279,5
5VVVVV_None,geracao,GT2,0.0,24.6173047731489,5
5VVVVV_None,geracao,GT2,1.0,27.6173047731489,5
5VVVVV_None,geracao,GT2,2.0,23.617304773148902,5
5VVVVV_None,geracao,GT3,0.0,17.3560816326531,5
5VVVVV_None,geracao,GT3,1.0,20.3560816326531,5
5VVVVV_None,geracao,GT3,2.0,10.3560816326531,5
5VVVVV_None,fluxo,L0,0.0,6.0,5
5VVVVV_None,fluxo,L0,1.0,6.0,5
5VVVVV_None,fluxo,L0,2.0,3.59265859212857,5
5VVVVV_None,fluxo,L1,0.0,12.0,5
5VVVVV_None,fluxo,L1,1.0,12.0,5
5VVVVV_None,fluxo,L1,2.0,12.0,5
5VVVVV_None,fluxo,L2,0.0,12.0,5
5VVVVV_None,fluxo,L2,1.0,12.0,5
5VVVVV_None,fluxo,L2,2.0,12.0,5
5VVVVV_None,fluxo,L3,0.0,-10.0,5
5VVVVV_None,fluxo,L3,1.0,-10.0,5
5VVVVV_None,fluxo,L3,2.0,-8.071136244337431,5
5VVVVV_None,deficit,B2,0.0,0.0,5
5VVVVV_None,deficit,B3,0.0,0.0,5
5VVVVV_None,deficit,B2,1.0,0.0,5
5VVVVV_None,deficit,B3,1.0,0.0,5
5VVVVV_None,deficit,B2,2.0,0.0,5
5VVVVV_None,deficit,B3,2.0,0.0,5
6VVVVV_None,FOB,total,,2918.356464286373,6
6VVVVV_None,geracao,GT1,0.0,31.565223140495902,6
6VVVVV_None,geracao,GT1,1.0,31.565223140495902,6
6VVVVV_None,geracao,GT1,2.0,28.8928128134279,6
6VVVVV_None,geracao,GT2,0.0,24.6173047731489,6
6VVVVV_None,geracao,GT2,1.0,27.6173047731489,6
6VVVVV_None,geracao,GT2,2.0,23.617304773148902,6
6VVVVV_None,geracao,GT3,0.0,17.3560816326531,6
6VVVVV_None,geracao,GT3,1.0,20.3560816326531,6
6VVVVV_None,geracao,GT3,2.0,10.3560816326531,6
6VVVVV_None,fluxo,L0,0.0,6.0,6
6VVVVV_None,fluxo,L0,1.0,6.0,6
6VVVVV_None,fluxo,L0,2.0,3.59265859212857,6
6VVVVV_None,fluxo,L1,0.0,12.0,6
6VVVVV_None,fluxo,L1,1.0,12.0,6
6VVVVV_None,fluxo,L1,2.0,12.0,6
6VVVVV_None,fluxo,L2,0.0,12.0,6
6VVVVV_None,fluxo,L2,1.0,12.0,6
6VVVVV_None,fluxo,L2,2.0,12.0,6
6VVVVV_None,fluxo,L3,0.0,-10.0,6
6VVVVV_None,fluxo,L3,1.0,-10.0,6
6VVVVV_None,fluxo,L3,2.0,-8.071136244337431,6
6VVVVV_None,deficit,B2,0.0,0.0,6
6VVVVV_None,deficit,B3,0.0,0.0,6
6VVVVV_None,deficit,B2,1.0,0.0,6
6VVVVV_None,deficit,B3,1.0,0.0,6
6VVVVV_None,deficit,B2,2.0,0.0,6
6VVVVV_None,deficit,B3,2.0,0.0,6
7VVVVV_None,FOB,total,,2941.7624573944536,7
7VVVVV_None,geracao,GT1,0.0,31.565223140495902,7
7VVVVV_None,geracao,GT1,1.0,31.565223140495902,7
7VVVVV_None,geracao,GT1,2.0,28.8928128134279,7
7VVVVV_None,geracao,GT2,0.0,24.6173047731489,7
7VVVVV_None,geracao,GT2,1.0,27.6173047731489,7
7VVVVV_None,geracao,GT2,2.0,23.617304773148902,7
7VVVVV_None,geracao,GT3,0.0,17.3560816326531,7
7VVVVV_None,geracao,GT3,1.0,20.3560816326531,7
7VVVVV_None,geracao,GT3,2.0,10.3560816326531,7
7VVVVV_None,fluxo,L0,0.0,6.0,7
7VVVVV_None,fluxo,L0,1.0,6.0,7
7VVVVV_None,fluxo,L0,2.0,3.59265859212857,7
7VVVVV_None,fluxo,L1,0.0,12.0,7
7VVVVV_None,fluxo,L1,1.0,12.0,7
7VVVVV_None,fluxo,L1,2.0,12.0,7
7VVVVV_None,fluxo,L2,0.0,12.0,7
7VVVVV_None,fluxo,L2,1.0,12.0,7
7VVVVV_None,fluxo,L2,2.0,12.0,7
7VVVVV_None,fluxo,L3,0.0,-10.0,7
7VVVVV_None,fluxo,L3,1.0,-10.0,7
7VVVVV_None,fluxo,L3,2.0,-8.071136244337431,7
7VVVVV_None,deficit,B2,0.0,0.0,7
7VVVVV_None,deficit,B3,0.0,0.0,7
7VVVVV_None,deficit,B2,1.0,0.0,7
7VVVVV_None,deficit,B3,1.0,0.0,7
7VVVVV_None,deficit,B2,2.0,0.0,7
7VVVVV_None,deficit,B3,2.0,0.0,7
8VVVVV_None,FOB,total,,2965.168450502534,8
8VVVVV_None,geracao,GT1,0.0,31.565223140495902,8
8VVVVV_None,geracao,GT1,1.0,31.565223140495902,8
8VVVVV_None,geracao,GT1,2.0,28.8928128134279,8
8VVVVV_None,geracao,GT2,0.0,24.6173047731489,8
8VVVVV_None,geracao,GT2,1.0,27.6173047731489,8
8VVVVV_None,geracao,GT2,2.0,23.617304773148902,8
8VVVVV_None,geracao,GT3,0.0,17.3560816326531,8
8VVVVV_None,geracao,GT3,1.0,20.3560816326531,8
8VVVVV_None,geracao,GT3,2.0,10.3560816326531,8
8VVVVV_None,fluxo,L0,0.0,6.0,8
8VVVVV_None,fluxo,L0,1.0,6.0,8
8VVVVV_None,fluxo,L0,2.0,3.59265859212857,8
8VVVVV_None,fluxo,L1,0.0,12.0,8
8VVVVV_None,fluxo,L1,1.0,12.0,8
8VVVVV_None,fluxo,L1,2.0,12.0,8
8VVVVV_None,fluxo,L2,0.0,12.0,8
8VVVVV_None,fluxo,L2,1.0,12.0,8
8VVVVV_None,fluxo,L2,2.0,12.0,8
8VVVVV_None,fluxo,L3,0.0,-10.0,8
8VVVVV_None,fluxo,L3,1.0,-10.0,8
8VVVVV_None,fluxo,L3,2.0,-8.071136244337431,8
8VVVVV_None,deficit,B2,0.0,0.0,8
8VVVVV_None,deficit,B3,0.0,0.0,8
8VVVVV_None,deficit,B2,1.0,0.0,8
8VVVVV_None,deficit,B3,1.0,0.0,8
8VVVVV_None,deficit,B2,2.0,0.0,8
8VVVVV_None,deficit,B3,2.0,0.0,8
9VVVVV_None,FOB,total,,2988.574443610615,9
9VVVVV_None,geracao,GT1,0.0,31.565223140495902,9
9VVVVV_None,geracao,GT1,1.0,31.565223140495902,9
